Oldenburg Academy|Oldenburg Academy|422113|OLDENBURG ACADEMY|39.342613|-85.201152
Oregon-Davis|Oregon-Davis Junior-Senior High School|180846001435|Oregon-Davis Jr-Sr High School|41.388594|-86.551972
Orleans|Orleans Junior-Senior High School|180849001437|Orleans Jr-Sr High School|38.66794|-86.454274
Owen Valley|Owen Valley Middle School|181095001790|Owen Valley Middle School|39.288763|-86.78262
Paoli|Paoli Jr & Senior High School|180864001438|Paoli Jr & Sr High School|38.550426|-86.477041
Park Tudor|Park Tudor School|A0700958|PARK TUDOR SCHOOL|39.88573|-86.148251
Pendleton Heights|Pendleton Heights High School|181044001711|Pendleton Heights High School|39.997356|-85.735134
Penn|Penn High School|180876001451|Penn High School|41.679052|-86.107984
Perry Central|Perry Central High School|180174000234|Perry Central Jr-Sr High Sch|38.111737|-86.60488
Perry Meridian|Perry Meridian High School|180882001464|Perry Meridian High School|39.648182|-86.166345
Peru|Peru High School|180885001476|Peru High School|40.76014|-86.072579
Pike Central|Pike Central High School|180890001482|Pike Central High Sch|38.434517|-87.24338
Pike|Pike High School|180891001489|Pike High School|39.875494|-86.255231
Pioneer|Pioneer Junior-Senior High School|180894001491|Pioneer Jr-Sr High School|40.86087|-86.494471
Plainfield|Plainfield High School|180897001494|Plainfield High School|39.681753|-86.378717
Plymouth|Plymouth High School|180906001500|Plymouth High School|41.347617|-86.302273
Portage|Portage High School|180915001514|Portage High School|41.552582|-87.166592
Prairie Heights|Prairie Heights High School|180930001526|Prairie Heights Sr High Sch|41.638734|-85.20054
Princeton Community|Princeton Community Intermediate School|180777001326|Princeton Comm High Sch|38.36818|-87.568921
Providence Cristo Rey|Providence Cristo Rey High School|A0700963|PROVIDENCE CRISTO REY HIGH SCHOOL|39.76755|-86.202471
Providence|OUR LADY OF PROVIDENCE JR-SR HIGH SCHOOL|421914|OUR LADY OF PROVIDENCE JR-SR HIGH SCHOOL|38.304775|-85.782819
Fort Wayne Snider|R Nelson Snider High School|180363000556|R Nelson Snider High School|41.10782|-85.083015
Randolph Southern|Randolph Southern High Sch|181074001763|Randolph Southern Jr-Sr High Sch|40.052047|-84.945324
Rensselaer Central|Rensselaer Central High School|180942001543|Rensselaer Central High School|40.934892|-87.135919
Richmond|Richmond High School|180951001566|Richmond High School|39.821808|-84.901669
South Bend Riley|Riley High School|181029001660|Riley High School|41.654387|-86.243346
Rising Sun|Rising Sun High School|180960001573|Rising Sun High School|38.950388|-84.860001
River Forest|River Forest High School|180462000781|River Forest High School|41.558473|-87.280199
Riverton Parke|Riverton Parke Junior-Senior High School|181090002287|Riverton Parke Jr-Sr High School|39.697568|-87.322751
Rochester Community|Rochester Community High School|180963001576|Rochester Community High Sch|41.057813|-86.224211
Rock Creek|Rock Creek Community Academy|180009902497|Rock Creek Community Academy|38.43796|-85.76238
